anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1068,Camila Rojas Valderrama,36,99.046,122,100.0,ok,1,,,,2,1,1,50.0,0,Inasistencias justificadas: 1/2 (50.0%).,2026-02-27
2025,1049,Cosme Mellado Pino,37,99.046,122,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1168,Jorge Saffirio Espinoza,38,99.031,120,100.0,ok,1,,,,4,3,1,75.0,0,Inasistencias justificadas: 3/4 (75.0%).,2026-02-27
2025,815,Sergio Bobadilla Muñoz,39,99.013,118,100.0,ok,1,,,,6,6,0,100.0,0,Inasistencias justificadas: 6/6 (100.0%).,2026-02-27
2025,1057,Erika Olivera De La Fuente,40,99.01,98,100.0,ok,1,,,,26,26,0,100.0,0,Inasistencias justificadas: 26/26 (100.0%).,2026-02-27
2025,1069,Leonidas Romero Sáez,41,99.005,117,100.0,ok,1,,,,7,6,1,85.71,0,Inasistencias justificadas: 6/7 (85.71%).,2026-02-27
2025,1185,Arturo Barrios Oteíza,42,98.871,86,69.919,cobertura_critica,0,,,,1,0,1,0.0,37,Cobertura de registro 69.919%: el origen no reporta todas las sesiones en ventana activa. El % de asistencia se calcula excluyendo casos No evaluables (missing o rebajaAsistencia). | No evaluable por subregistro del origen en 37 sesiones (se excluye del denominador). | Inasistencias justificadas: 0/1 (0.0%).,2026-02-27
2025,1165,Agustín Romero Leiva,43,98.423,123,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1126,Felipe Donoso Castro,44,98.423,123,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,953,Frank Sauerbaum Muñoz,45,98.423,123,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1133,Juan Irarrázaval Rossel,46,98.423,123,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1174,Marco Antonio Sulantay Olivares,47,98.423,123,100.0,ok,1,,,,2,1,1,50.0,0,Inasistencias justificadas: 1/2 (50.0%).,2026-02-27
2025,1177,Carolina Tello Rojas,48,98.379,120,100.0,ok,1,,,,5,3,2,60.0,0,Inasistencias justificadas: 3/5 (60.0%).,2026-02-27
2025,1081,Francisco Undurraga Gazitúa,49,98.371,119,100.0,ok,1,,,,6,6,0,100.0,0,Inasistencias justificadas: 6/6 (100.0%).,2026-02-27
2025,1009,Jorge Alessandri Vergara,50,98.366,119,100.0,ok,1,,,,6,4,2,66.67,0,Inasistencias justificadas: 4/6 (66.67%).,2026-02-27
2025,975,Daniella Cicardini Milla,51,98.265,123,100.0,ok,1,,,,2,0,2,0.0,0,Inasistencias justificadas: 0/2 (0.0%).,2026-02-27
2025,1142,Daniel Manouchehri Lobos,52,98.248,122,100.0,ok,1,,,,3,2,1,66.67,0,Inasistencias justificadas: 2/3 (66.67%).,2026-02-27
2025,1184,Roberto Celedón Fernández,53,98.22,120,100.0,ok,1,Reemplazante,Asume tras fallecimiento de Bulnes (fin 2024),Camara.cl,2,0,2,0.0,0,Status 2025: Reemplazante — Asume tras fallecimiento de Bulnes (fin 2024) | Inasistencias justificadas: 0/2 (0.0%).,2026-02-27
2025,1146,José Carlos Meza Pereira,54,98.176,117,100.0,ok,1,,,,8,7,1,87.5,0,Inasistencias justificadas: 7/8 (87.5%).,2026-02-27
2025,1015,Jorge Brito Hasbún,55,98.142,115,100.0,ok,1,,,,10,8,2,80.0,0,Inasistencias justificadas: 8/10 (80.0%).,2026-02-27
2025,1104,Chiara Barchiesi Chávez,56,97.786,52,100.0,ok,1,Prenatal y postnatal,"""Pre y postnatal; inasistencia justificada""",Fuente_periodistica,72,71,1,98.61,0,"Status 2025: Prenatal y postnatal — ""Pre y postnatal; inasistencia justificada"" | Inasistencias justificadas: 71/72 (98.61%).",2026-02-27
2025,1103,Danisa Astudillo Peiretti,57,97.634,123,100.0,ok,1,,,,3,1,2,33.33,0,Inasistencias justificadas: 1/3 (33.33%).,2026-02-27
2025,973,Karol Cariola Oliva,58,97.596,81,100.0,ok,1,,,,44,43,1,97.73,0,Inasistencias justificadas: 43/44 (97.73%).,2026-02-27
2025,1162,Matías Ramírez Pascal,59,97.577,120,100.0,ok,1,,,,6,5,1,83.33,0,Inasistencias justificadas: 5/6 (83.33%).,2026-02-27
2025,1075,Diego Schalper Sepúlveda,60,97.573,120,100.0,ok,1,,,,6,5,1,83.33,0,Inasistencias justificadas: 5/6 (83.33%).,2026-02-27
2025,1065,Guillermo Ramírez Diez,61,97.557,119,100.0,ok,1,,,,7,7,0,100.0,0,Inasistencias justificadas: 7/7 (100.0%).,2026-02-27
2025,1096,María Candelaria Acevedo Sáez,62,97.553,119,100.0,ok,1,,,,7,5,2,71.43,0,Inasistencias justificadas: 5/7 (71.43%).,2026-02-27
2025,1149,Carla Morales Maldonado,63,97.529,118,100.0,ok,1,,,,8,8,0,100.0,0,Inasistencias justificadas: 8/8 (100.0%).,2026-02-27
2025,1013,Alejandro Bernales Maldonado,64,97.476,123,100.0,ok,1,,,,3,2,1,66.67,0,Inasistencias justificadas: 2/3 (66.67%).,2026-02-27
2025,1169,Clara Sagardía Cabezas,65,97.476,123,100.0,ok,1,,,,3,3,0,100.0,0,Inasistencias justificadas: 3/3 (100.0%).,2026-02-27
2025,1175,Cristián Tapia Ramos,66,97.476,123,100.0,ok,1,,,,3,0,3,0.0,0,Inasistencias justificadas: 0/3 (0.0%).,2026-02-27
2025,1067,Hugo Rey Martínez,67,97.466,115,100.0,ok,1,,,,11,8,3,72.73,0,Inasistencias justificadas: 8/11 (72.73%).,2026-02-27
2025,803,René Alinco Bustos,68,97.456,122,100.0,ok,1,,,,4,1,3,25.0,0,Inasistencias justificadas: 1/4 (25.0%).,2026-02-27
2025,1179,Alberto Undurraga Vicuña,69,97.432,121,100.0,ok,1,,,,5,4,1,80.0,0,Inasistencias justificadas: 4/5 (80.0%).,2026-02-27
2025,1017,Álvaro Carter Fernández,70,97.432,121,100.0,ok,1,,,,5,3,2,60.0,0,Inasistencias justificadas: 3/5 (60.0%).,2026-02-27
2025,1145,Karen Medina Vásquez,71,97.423,113,100.0,ok,1,,,,13,12,1,92.31,0,Inasistencias justificadas: 12/13 (92.31%).,2026-02-27
2025,1040,Harry Jürgensen Rundshagen,72,97.394,119,100.0,ok,1,,,,7,7,0,100.0,0,Inasistencias justificadas: 7/7 (100.0%).,2026-02-27
2025,1077,Raúl Soto Mardones,73,97.39,119,100.0,ok,1,,,,7,7,0,100.0,0,Inasistencias justificadas: 7/7 (100.0%).,2026-02-27
2025,1166,Natalia Romero Talguia,74,97.368,118,100.0,ok,1,,,,8,6,2,75.0,0,Inasistencias justificadas: 6/8 (75.0%).,2026-02-27
2025,1058,Maite Orsini Pascal,75,97.279,114,100.0,ok,1,,,,12,9,3,75.0,0,Inasistencias justificadas: 9/12 (75.0%).,2026-02-27
2025,1155,Rubén Darío Oyarzo Figueroa,76,97.274,114,100.0,ok,1,,,,12,10,2,83.33,0,Inasistencias justificadas: 10/12 (83.33%).,2026-02-27
